variable,labels
I10_PR10,ICD-10-PCS Procedure 10
I10_PR11,ICD-10-PCS Procedure 11
I10_PR12,ICD-10-PCS Procedure 12
I10_PR13,ICD-10-PCS Procedure 13
I10_PR14,ICD-10-PCS Procedure 14
I10_PR15,ICD-10-PCS Procedure 15
I10_PR16,ICD-10-PCS Procedure 16
I10_PR17,ICD-10-PCS Procedure 17
I10_PR18,ICD-10-PCS Procedure 18
I10_PR19,ICD-10-PCS Procedure 19
I10_PR20,ICD-10-PCS Procedure 20
I10_PR21,ICD-10-PCS Procedure 21
I10_PR22,ICD-10-PCS Procedure 22
I10_PR23,ICD-10-PCS Procedure 23
I10_PR24,ICD-10-PCS Procedure 24
I10_PR25,ICD-10-PCS Procedure 25
I10_SERVICELINE,ICD-10-CM/PCS Hospital Service Line
KEY_NIS,NIS record number
LOS,Length of stay (cleaned)
MDC,MDC in effect on discharge date
MDC_NoPOA,"MDC in use on discharge date, calculated without POA"
NIS_STRATUM,NIS hospital stratum
PAY1,Primary expected payer (uniform)
PCLASS_ORPROC,Indicates operating room (major diagnostic or therapeutic) procedure on the record
PL_NCHS,Patient Location: NCHS Urban-Rural Code
PRDAY1,Number of days from admission to I10_PR1
PRDAY2,Number of days from admission to I10_PR2
PRDAY3,Number of days from admission to I10_PR3
PRDAY4,Number of days from admission to I10_PR4
PRDAY5,Number of days from admission to I10_PR5
PRDAY6,Number of days from admission to I10_PR6
PRDAY7,Number of days from admission to I10_PR7
PRDAY8,Number of days from admission to I10_PR8
PRDAY9,Number of days from admission to I10_PR9
PRDAY10,Number of days from admission to I10_PR10
PRDAY11,Number of days from admission to I10_PR11
PRDAY12,Number of days from admission to I10_PR12
PRDAY13,Number of days from admission to I10_PR13
PRDAY14,Number of days from admission to I10_PR14
PRDAY15,Number of days from admission to I10_PR15
PRDAY16,Number of days from admission to I10_PR16
PRDAY17,Number of days from admission to I10_PR17
PRDAY18,Number of days from admission to I10_PR18
PRDAY19,Number of days from admission to I10_PR19
PRDAY20,Number of days from admission to I10_PR20
PRDAY21,Number of days from admission to I10_PR21
PRDAY22,Number of days from admission to I10_PR22
PRDAY23,Number of days from admission to I10_PR23
PRDAY24,Number of days from admission to I10_PR24
PRDAY25,Number of days from admission to I10_PR25
RACE,Race (uniform)
TOTCHG,Total charges (cleaned)
TRAN_IN,Transfer in indicator
TRAN_OUT,Transfer out indicator
YEAR,Calendar year
ZIPINC_QRTL,Median household income national quartile for patient ZIP Code
